phrase_norm,occurrences,unique_abstracts
effect of music therapy,11,9
effect of creative music therapy,3,2
effect of music,3,2
effect of mothers' voice and white noise,2,1
effect of music listening in the nicu,2,1
effect of 2 guitar accompaniment patterns,1,1
effect of a music therapy intervention (parent-led,1,1
effect of a musical intervention,1,1
effect of a pal intervention,1,1
effect of a relaxing music therapy intervention composed by artificial intelligence,1,1
effect of acoustic stimulation was observed,1,1
effect of brahm's lullaby and mum's lullaby sound,1,1
effect of combined music therapy and ssc and ssc alone,1,1
effect of contingent singing,1,1
effect of heartbeat-music interventions to support mother–infant bonding in the nicu and explore experiences of mothers participating in music therapy,1,1
effect of kangaroo care,1,1
effect of listening and visual interventions,1,1
effect of listening to music,1,1
effect of live harp music,1,1
effect of live-performed music therapy,1,1
effect of lullabies,1,1
effect of lullabies and classical music,1,1
effect of lullabies in the mothers' own voices,1,1
effect of lullabies with a mother's voice,1,1
effect of lullaby,1,1
effect of lullaby and kangaroo care,1,1
effect of maternal directed singing and speaking,1,1
effect of maternal voice recording versus standard conditions,1,1
effect of mother's lullaby and mozart's lullaby,1,1
effect of mothers' and mozart's lullabies,1,1
effect of mothers' singing,1,1
effect of mothers' voice,1,1
effect of mozart's music,1,1
effect of music and singing in developmental care for premature infants,1,1
effect of music applied during the rop examination,1,1
effect of music during recovery from heel lance were examined in 14 preterm infants at 29 to 36 weeks post-conceptual age (pca),1,1
effect of music during routine nursing care,1,1
effect of music for premature infants,1,1
effect of music intervention,1,1
effect of music listening in the nicus have never been explored,1,1
effect of music therapy and developmental program,1,1
effect of music therapy application,1,1
effect of music therapy for premature infants and their caregivers,1,1
effect of music therapy in combination with skin-to-skin care (ssc),1,1
effect of music-reinforced nonnutritive sucking (nns) for preterm,1,1
effect of parent-led,1,1
effect of pentatonic live music,1,1
effect of premature infant oral motor intervention [piomi] combined with music therapy [music therapy],1,1
effect of recorded lullabies and mothers' live lullabies,1,1
effect of recorded lullaby and mother's live lullaby interventions,1,1
effect of recorded mother's lullaby,1,1
effect of recorded mum's lullaby and brahm's lullaby,1,1
effect of such stimuli,1,1
effect of the intervention,1,1
effect of the music therapy intervention for the mother–preterm infant dyad (musip) for maternal anxiety,1,1
effect of the three therapies,1,1
