"keyword","n_doc","total_freq","mean_rake"
"premature infant",50,192,2.3992015871258
"music therapy",32,192,3.62289226855016
"heart rate",15,43,2.40555555555556
"respiratory rate",10,26,2.125
"physiological parameters",7,23,2.19047619047619
"weight gain",7,20,2.42857142857143
"kangaroo care",6,36,2.51719576719577
"behavioral state",4,10,2.26111111111111
"mother anxiety",4,12,1.7638437950938
"music intervention",4,12,2.18571428571429
"neonatal intensive care unit",4,8,11.9166666666667
"standard care",4,14,2.13769841269841
"vital sign",4,9,2
"classical music",3,11,2.27037037037037
"gestational age",3,7,1.88888888888889
"infant bonding",3,8,2.50846560846561
"mother lullaby",3,9,1.62254901960784
"autonomic nervous system",2,5,7.79285714285714
"bayley scales",2,6,2
"behavioral effects",2,5,2.22222222222222
